sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Femme,22,Hainaut,En centre ville,700,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Fort important,Fort important,Un peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,26,Liège,En périphérie,4800,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Moyennement important,Peu important,Peu important,Pas du tout important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,57,Liège,A la campagne,4540,Moins de 10 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,3,4,Non,Une solution égale,Une solution égale,Une solution égale,Une meilleure solution,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Peu important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,19,Namur,En périphérie,5030,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,2 500 km
Homme,25,Liège,A la campagne,4100,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,2,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fort important,Très important,Fort important,Très important,Très important,Très important,Très important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,19,Hainaut,A la campagne,6142,Entre 15 000 et 20 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,3,4,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Très important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,23,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,2,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une moins bonne solution,Très important,Peu important,Fort important,Fort important,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Peu important,Pas du tout intéressé.e,Pas du tout intéressé.e,Peu intéressé.e,Peu intéressé.e,20 000 km
Femme,49,Namur,A la campagne,5364,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,4,Non,Une meilleure solution,Une meilleure solution,Une solution égale,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,33,Liège,A la campagne,4910,Plus de 20 000,Plus de 20 000,Ont diminué,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une solution égale,Peu important,Peu important,Très important,Très important,Fort important,Fort important,Très important,Très important,Peu important,Peu important,Peu important,Peu important,Un peu intéressé.e,Fortement intéressé.e,Peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,23,Liège,A la campagne,4880,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Fort important,Fort important,Très important,Fort important,Fort important,Peu important,Très important,Très important,Fort important,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,24,Liège,En centre ville,4000,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Moyennement important,Moyennement important,Très important,Fort important,Moyennement important,Fort important,Très important,Très important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,24,Liège,En centre ville,4000,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,5,4,Non,Une solution égale,Une meilleure solution,Une solution égale,Une solution égale,Fort important,Peu important,Très important,Fort important,Fort important,Fort important,Très important,Peu important,Moyennement important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,23,Liège,A la campagne,4280,Entre 15 000 et 20 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une solution égale,Une solution égale,Une meilleure solution,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Peu intéressé.e,Un peu intéressé.e,5 000 km
Femme,20,Région de Bruxelles-Capitale,En périphérie,1950,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Etudiant,Oui,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,4,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Peu important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,5 000 km
Homme,23,Liège,A la campagne,4280,Moins de 10 000,Entre 15 000 et 20 000,Ont augmenté,Master,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,25,Liège,A la campagne,4570,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Oui,Non,Oui,1,3,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Peu important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Moyennement important,Fort important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,1 000 km
Homme,23,Liège,En périphérie,4870,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,5,4,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Fort important,Moyennement important,Fort important,Fort important,Fort important,Moyennement important,Très important,Fort important,Fort important,Fort important,Fort important,Très important,Moyennement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Peu intéressé.e,10 000 km
Homme,20,Liège,A la campagne,4280,Plus de 20 000,Plus de 20 000,sont restés stables,Bachelier,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Peu important,Moyennement important,Fort important,Fort important,Moyennement important,Très important,Fort important,Fort important,Très important,Moyennement important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Femme,25,Liège,En périphérie,4053,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Indépendant,Oui,Il est très difficile de vivre avec mon revenu actuel.,Oui,Non,Non,Oui,2,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Peu important,Très important,Fort important,Fort important,Très important,Fort important,Très important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,22,Namur,A la campagne,5670,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Secondaire,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une meilleure solution,Très important,Fort important,Moyennement important,Fort important,Moyennement important,Très important,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,25,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,5,1,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une meilleure solution,Très important,Pas du tout important,Très important,Très important,Très important,Fort important,Très important,Moyennement important,Pas du tout important,Pas du tout important,Moyennement important,Pas du tout important,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,24,Liège,En périphérie,4681,Entre 10 000 et 15 000,Plus de 20 000,Ont augmenté,Master,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,2,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une solution égale,Fort important,Peu important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Moyennement important,Fort important,Moyennement important,Peu important,Peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,23,Liège,En périphérie,4802,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,5,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
